   plate   mjd     fiber        ra                    dec  pipeclass pipesublcass comment
   7589    56946   797          7.45514800      20.4897800 STAR     CV                     
   7588    56903   698          8.78633100      18.5191500 STAR     CV                     
   7861    57281   628         19.6674600        2.9790280 STAR     CV                     
   7687    57007   999         25.3588400       23.7262500 STAR     CV                     
   7821    57279   572         40.0362700        1.9512760 STAR     CV                     
   7301    56746   223        125.584000        52.3773400 STAR     CV                     
   7516    56782   368        135.892000        45.0920700 STAR     CV         
   7296    57046   768        138.403100        51.0131000 STAR     CV               
   7290    57073   444        139.271000        51.2485600 STAR     CV                     
   7275    57093   999        140.273900        55.0981100 STAR     CV                     
   7297    57040   642        141.493700        50.8136200 STAR     CV                     
   7286    57096   754        142.894500        54.5383700 STAR     CV                     
   8299    57346   713        143.3545          42.3629200 STAR     CV                     
   5719    56014    30        151.382170        59.5444780 STAR     CV                     
   8174    57374   890        157.410100        52.7043500 STAR     CV                     
   7388    56783   288        157.427630        45.1308080 STAR     CV                     
    905    52643   183        157.801470        53.8994540 STAR     CV                     
   7386    56769     6        158.188200        46.7187400 STAR     CV                     
   1431    52992   219        159.275060        44.0084120 STAR     CV                     
   6695    56628    70        159.489310        52.1412260 STAR     CV                     
   8178    57428   472        162.610100        56.4708200 STAR     CV                     
   8172    57423   168        164.527500        53.3915000 STAR     CV                     
   7395    57131   872        168.600700        49.8721200 STAR     CV                     
   6686    56389   868        170.020960        48.1554020 STAR     CV                     
   7399    57162   768        172.320300        49.1258100 STAR     CV                     
   8873    57427   777        175.116400        36.5209600 STAR     CV                     
   8369    57451   119        175.626800        41.5707700 STAR     CV                     
   8224    57378   532        175.683400        51.3789600 STAR     CV                     
   7404    56776   136        179.309700        45.2502400 STAR     CV                     
   7426    56771   882        182.045000        48.0161400 STAR     CV      
   8383    57518   984        185.740000        42.2778500 STAR     CV                     
   7425    56777   174        185.743700        45.4120500 STAR     CV                     
   7419    56811   493        187.260600        47.4539300 STAR     CV                     
   8375    57520   468        190.182500        43.4038800 STAR     CV
   6754    56414   198        199.870010        50.7089840 STAR     CV                     
   6748    56371   876        204.584210        47.5230800 STAR     CV                     
   7430    57105   630        205.522400        50.5546800 STAR     CV                     
   6745    56425   712        208.527830        50.1659140 STAR     CV                     
   8495    57481   808        217.065900        46.4127600 STAR     CV                     
   8431    57482   529        226.953200        49.1255900 STAR     CV                     
   7586    57186   874        338.146900        24.3298800 STAR     CV                     
   7654    57330   178        338.544500        25.1893500 STAR     CV                     
